Column,year,show,piece,piece_genre,piece_year,composer,composer_country,composer_birth,composer_death,gender,score,tie,corps,corps_location
0,1990,A Bernstein Celebration,Overture to Candide,opera,1957.0,Leonard Bernstein,United States of America,1918-08-25T00:00:00Z,1990-10-14T00:00:00Z,male,97.7,False,The Cadets Drum and Bugle Corps,PA
1,1990,A Bernstein Celebration,Mass,musical,1971.0,Leonard Bernstein,United States of America,1918-08-25T00:00:00Z,1990-10-14T00:00:00Z,male,97.7,False,The Cadets Drum and Bugle Corps,PA
2,1990,A Bernstein Celebration,West Side Story,musical,1957.0,Leonard Bernstein,United States of America,1918-08-25T00:00:00Z,1990-10-14T00:00:00Z,male,97.7,False,The Cadets Drum and Bugle Corps,PA
3,1990,A Bernstein Celebration,Fancy Free Ballet,ballet,1944.0,Leonard Bernstein,United States of America,1918-08-25T00:00:00Z,1990-10-14T00:00:00Z,male,97.7,False,The Cadets Drum and Bugle Corps,PA
4,1991,Immaggini di Roma (Roman Images): The Music of Ottorino Respighi,Roman Festivals,orchestra,1928.0,Ottorino Respighi,Kingdom of Italy,1879-07-09T00:00:00Z,1936-04-18T00:00:00Z,male,97.0,False,Star of Indiana Drum and Bugle Corps,IN
5,1991,Immaggini di Roma (Roman Images): The Music of Ottorino Respighi,Pines of Rome,orchestra,1924.0,Ottorino Respighi,Kingdom of Italy,1879-07-09T00:00:00Z,1936-04-18T00:00:00Z,male,97.0,False,Star of Indiana Drum and Bugle Corps,IN
6,1992,Revolution and Triumph,Gavorkna Fanfare,wind band,1991.0,Jack Stamp,United States of America,1954-03-05T00:00:00Z,,male,97.5,False,The Cavaliers Drum and Bugle Corps,IL
7,1992,Revolution and Triumph,Cornish Dances,orchestra,1966.0,Malcolm Arnold,United Kingdom,1921-10-21T00:00:00Z,2006-09-23T00:00:00Z,male,97.5,False,The Cavaliers Drum and Bugle Corps,IL
8,1992,Revolution and Triumph,English Dances,orchestra,1951.0,Malcolm Arnold,United Kingdom,1921-10-21T00:00:00Z,2006-09-23T00:00:00Z,male,97.5,False,The Cavaliers Drum and Bugle Corps,IL
9,1992,Revolution and Triumph,Peterloo Overture,orchestra,1967.0,Malcolm Arnold,United Kingdom,1921-10-21T00:00:00Z,2006-09-23T00:00:00Z,male,97.5,False,The Cavaliers Drum and Bugle Corps,IL
10,1993,"In the Spring, At the TimeWhen Kings Go Off to War","In the Spring, When Kings Go Off to War",wind band,1991.0,David Holsinger,United States of America,1945-12-26T00:00:00Z,,male,97.4,False,The Cadets Drum and Bugle Corps,PA
11,1993,"In the Spring, At the TimeWhen Kings Go Off to War",Ballet Sacra,wind band,1990.0,David Holsinger,United States of America,1945-12-26T00:00:00Z,,male,97.4,False,The Cadets Drum and Bugle Corps,PA
12,1993,"In the Spring, At the TimeWhen Kings Go Off to War",On a Hymnsong of Philip Bliss,wind band,1989.0,David Holsinger,United States of America,1945-12-26T00:00:00Z,,male,97.4,False,The Cadets Drum and Bugle Corps,PA
13,1994,My Spanish Heart,Spanish Fantasy,jazz,1976.0,Chick Corea,United States of America,1941-06-12T00:00:00Z,2021-02-09T00:00:00Z,male,98.4,False,Blue Devils Drum and Bugle Corps,CA
